"","Description","Native","BigBytes","R_Encoding","Bytes","Spaced.Bytes"
"1","AERIAL TRAMWAY ","🚡","F0 9F 9A A1","<ed><a0><bd><ed><ba><a1>","f0 9f 9a a1","f0 9f 9a a1"
"2","AIRPLANE ","✈","E2 9C 88","<e2><9c><88>","e2 9c 88","e2 9c 88"
"3","ALARM CLOCK ","⏰","E2 8F B0","<e2><8f><b0>","e2 8f b0","e2 8f b0"
"4","ALIEN MONSTER ","👾","F0 9F 91 BE","<ed><a0><bd><ed><b1><be>","f0 9f 91 be","f0 9f 91 be"
"5","AMBULANCE ","🚑","F0 9F 9A 91","<ed><a0><bd><ed><ba><91>","f0 9f 9a 91","f0 9f 9a 91"
"6","AMERICAN FOOTBALL ","🏈","F0 9F 8F 88","<ed><a0><bc><ed><bf><88>","f0 9f 8f 88","f0 9f 8f 88"
"7","ANCHOR ","⚓","E2 9A 93","<e2><9a><93>","e2 9a 93","e2 9a 93"
"8","ANGER SYMBOL ","💢","F0 9F 92 A2","<ed><a0><bd><ed><b2><a2>","f0 9f 92 a2","f0 9f 92 a2"
"9","ANGRY FACE ","😠","F0 9F 98 A0","<ed><a0><bd><ed><b8><a0>","f0 9f 98 a0","f0 9f 98 a0"
"10","ANGUISHED FACE ","😧","F0 9F 98 A7","<ed><a0><bd><ed><b8><a7>","f0 9f 98 a7","f0 9f 98 a7"
"11","ANT ","🐜","F0 9F 90 9C","<ed><a0><bd><ed><b0><9c>","f0 9f 90 9c","f0 9f 90 9c"
"12","ANTENNA WITH BARS ","📶","F0 9F 93 B6","<ed><a0><bd><ed><b3><b6>","f0 9f 93 b6","f0 9f 93 b6"
"13","ANTICLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS ","🔄","F0 9F 94 84","<ed><a0><bd><ed><b4><84>","f0 9f 94 84","f0 9f 94 84"
"14","AQUARIUS ","♒","E2 99 92","<e2><99><92>","e2 99 92","e2 99 92"
"15","ARIES ","♈","E2 99 88","<e2><99><88>","e2 99 88","e2 99 88"
"16","ARROW POINTING RIGHTWARDS THEN CURVING DOWNWARDS ","⤵","E2 A4 B5","<e2><a4><b5>","e2 a4 b5","e2 a4 b5"
"17","ARROW POINTING RIGHTWARDS THEN CURVING UPWARDS ","⤴","E2 A4 B4","<e2><a4><b4>","e2 a4 b4","e2 a4 b4"
"18","ARTICULATED LORRY ","🚛","F0 9F 9A 9B","<ed><a0><bd><ed><ba><9b>","f0 9f 9a 9b","f0 9f 9a 9b"
"19","ARTIST PALETTE ","🎨","F0 9F 8E A8","<ed><a0><bc><ed><be><a8>","f0 9f 8e a8","f0 9f 8e a8"
"20","ASTONISHED FACE ","😲","F0 9F 98 B2","<ed><a0><bd><ed><b8><b2>","f0 9f 98 b2","f0 9f 98 b2"
"21","ATHLETIC SHOE ","👟","F0 9F 91 9F","<ed><a0><bd><ed><b1><9f>","f0 9f 91 9f","f0 9f 91 9f"
"22","AUBERGINE ","🍆","F0 9F 8D 86","<ed><a0><bc><ed><bd><86>","f0 9f 8d 86","f0 9f 8d 86"
"23","AUTOMATED TELLER MACHINE ","🏧","F0 9F 8F A7","<ed><a0><bc><ed><bf><a7>","f0 9f 8f a7","f0 9f 8f a7"
"24","AUTOMOBILE ","🚗","F0 9F 9A 97","<ed><a0><bd><ed><ba><97>","f0 9f 9a 97","f0 9f 9a 97"
"25","BABY ","👶","F0 9F 91 B6","<ed><a0><bd><ed><b1><b6>","f0 9f 91 b6","f0 9f 91 b6"
"26","BABY ANGEL ","👼","F0 9F 91 BC","<ed><a0><bd><ed><b1><bc>","f0 9f 91 bc","f0 9f 91 bc"
"27","BABY BOTTLE ","🍼","F0 9F 8D BC","<ed><a0><bc><ed><bd><bc>","f0 9f 8d bc","f0 9f 8d bc"
"28","BABY CHICK ","🐤","F0 9F 90 A4","<ed><a0><bd><ed><b0><a4>","f0 9f 90 a4","f0 9f 90 a4"
"29","BABY SYMBOL ","🚼","F0 9F 9A BC","<ed><a0><bd><ed><ba><bc>","f0 9f 9a bc","f0 9f 9a bc"
"30","BACK WITH LEFTWARDS ARROW ABOVE ","🔙","F0 9F 94 99","<ed><a0><bd><ed><b4><99>","f0 9f 94 99","f0 9f 94 99"
"31","BACTRIAN CAMEL ","🐫","F0 9F 90 AB","<ed><a0><bd><ed><b0><ab>","f0 9f 90 ab","f0 9f 90 ab"
"32","BAGGAGE CLAIM ","🛄","F0 9F 9B 84","<ed><a0><bd><ed><bb><84>","f0 9f 9b 84","f0 9f 9b 84"
"33","BALLOON ","🎈","F0 9F 8E 88","<ed><a0><bc><ed><be><88>","f0 9f 8e 88","f0 9f 8e 88"
"34","BALLOT BOX WITH CHECK ","☑","E2 98 91","<e2><98><91>","e2 98 91","e2 98 91"
"35","BANANA ","🍌","F0 9F 8D 8C","<ed><a0><bc><ed><bd><8c>","f0 9f 8d 8c","f0 9f 8d 8c"
"36","BANK ","🏦","F0 9F 8F A6","<ed><a0><bc><ed><bf><a6>","f0 9f 8f a6","f0 9f 8f a6"
"37","BANKNOTE WITH DOLLAR SIGN ","💵","F0 9F 92 B5","<ed><a0><bd><ed><b2><b5>","f0 9f 92 b5","f0 9f 92 b5"
"38","BANKNOTE WITH EURO SIGN ","💶","F0 9F 92 B6","<ed><a0><bd><ed><b2><b6>","f0 9f 92 b6","f0 9f 92 b6"
"39","BANKNOTE WITH POUND SIGN ","💷","F0 9F 92 B7","<ed><a0><bd><ed><b2><b7>","f0 9f 92 b7","f0 9f 92 b7"
"40","BANKNOTE WITH YEN SIGN ","💴","F0 9F 92 B4","<ed><a0><bd><ed><b2><b4>","f0 9f 92 b4","f0 9f 92 b4"
"41","BAR CHART ","📊","F0 9F 93 8A","<ed><a0><bd><ed><b3><8a>","f0 9f 93 8a","f0 9f 93 8a"
"42","BARBER POLE ","💈","F0 9F 92 88","<ed><a0><bd><ed><b2><88>","f0 9f 92 88","f0 9f 92 88"
"43","BASEBALL ","⚾","E2 9A BE","<e2><9a><be>","e2 9a be","e2 9a be"
"44","BASKETBALL AND HOOP ","🏀","F0 9F 8F 80","<ed><a0><bc><ed><bf><80>","f0 9f 8f 80","f0 9f 8f 80"
"45","BATH ","🛀","F0 9F 9B 80","<ed><a0><bd><ed><bb><80>","f0 9f 9b 80","f0 9f 9b 80"
"46","BATHTUB ","🛁","F0 9F 9B 81","<ed><a0><bd><ed><bb><81>","f0 9f 9b 81","f0 9f 9b 81"
"47","BATTERY ","🔋","F0 9F 94 8B","<ed><a0><bd><ed><b4><8b>","f0 9f 94 8b","f0 9f 94 8b"
"48","BEAR FACE ","🐻","F0 9F 90 BB","<ed><a0><bd><ed><b0><bb>","f0 9f 90 bb","f0 9f 90 bb"
"49","BEATING HEART ","💓","F0 9F 92 93","<ed><a0><bd><ed><b2><93>","f0 9f 92 93","f0 9f 92 93"
"50","BEER MUG ","🍺","F0 9F 8D BA","<ed><a0><bc><ed><bd><ba>","f0 9f 8d ba","f0 9f 8d ba"
"51","BELL ","🔔","F0 9F 94 94","<ed><a0><bd><ed><b4><94>","f0 9f 94 94","f0 9f 94 94"
"52","BELL WITH CANCELLATION STROKE ","🔕","F0 9F 94 95","<ed><a0><bd><ed><b4><95>","f0 9f 94 95","f0 9f 94 95"
"53","BENTO BOX ","🍱","F0 9F 8D B1","<ed><a0><bc><ed><bd><b1>","f0 9f 8d b1","f0 9f 8d b1"
"54","BICYCLE ","🚲","F0 9F 9A B2","<ed><a0><bd><ed><ba><b2>","f0 9f 9a b2","f0 9f 9a b2"
"55","BICYCLIST ","🚴","F0 9F 9A B4","<ed><a0><bd><ed><ba><b4>","f0 9f 9a b4","f0 9f 9a b4"
"56","BIKINI ","👙","F0 9F 91 99","<ed><a0><bd><ed><b1><99>","f0 9f 91 99","f0 9f 91 99"
"57","BILLIARDS ","🎱","F0 9F 8E B1","<ed><a0><bc><ed><be><b1>","f0 9f 8e b1","f0 9f 8e b1"
"58","BIRD ","🐦","F0 9F 90 A6","<ed><a0><bd><ed><b0><a6>","f0 9f 90 a6","f0 9f 90 a6"
"59","BIRTHDAY CAKE ","🎂","F0 9F 8E 82","<ed><a0><bc><ed><be><82>","f0 9f 8e 82","f0 9f 8e 82"
"60","BLACK CLUB SUIT ","♣","E2 99 A3","<e2><99><a3>","e2 99 a3","e2 99 a3"
"61","BLACK DIAMOND SUIT ","♦","E2 99 A6","<e2><99><a6>","e2 99 a6","e2 99 a6"
"62","BLACK DOWN-POINTING DOUBLE TRIANGLE ","⏬","E2 8F AC","<e2><8f><ac>","e2 8f ac","e2 8f ac"
"63","BLACK HEART SUIT ","♥","E2 99 A5","<e2><99><a5>","e2 99 a5","e2 99 a5"
"64","BLACK LARGE SQUARE ","⬛","E2 AC 9B","<e2><ac><9b>","e2 ac 9b","e2 ac 9b"
"65","BLACK LEFT-POINTING DOUBLE TRIANGLE ","⏪","E2 8F AA","<e2><8f><aa>","e2 8f aa","e2 8f aa"
"66","BLACK LEFT-POINTING TRIANGLE ","◀","E2 97 80","<e2><97><80>","e2 97 80","e2 97 80"
"67","BLACK MEDIUM SMALL SQUARE ","◾","E2 97 BE","<e2><97><be>","e2 97 be","e2 97 be"
"68","BLACK MEDIUM SQUARE ","◼","E2 97 BC","<e2><97><bc>","e2 97 bc","e2 97 bc"
"69","BLACK NIB ","✒","E2 9C 92","<e2><9c><92>","e2 9c 92","e2 9c 92"
"70","BLACK QUESTION MARK ORNAMENT ","❓","E2 9D 93","<e2><9d><93>","e2 9d 93","e2 9d 93"
"71","BLACK RIGHT-POINTING DOUBLE TRIANGLE ","⏩","E2 8F A9","<e2><8f><a9>","e2 8f a9","e2 8f a9"
"72","BLACK RIGHT-POINTING TRIANGLE ","▶","E2 96 B6","<e2><96><b6>","e2 96 b6","e2 96 b6"
"73","BLACK RIGHTWARDS ARROW ","➡","E2 9E A1","<e2><9e><a1>","e2 9e a1","e2 9e a1"
"74","BLACK SCISSORS ","✂","E2 9C 82","<e2><9c><82>","e2 9c 82","e2 9c 82"
"75","BLACK SMALL SQUARE ","▪","E2 96 AA","<e2><96><aa>","e2 96 aa","e2 96 aa"
"76","BLACK SPADE SUIT ","♠","E2 99 A0","<e2><99><a0>","e2 99 a0","e2 99 a0"
"77","BLACK SQUARE BUTTON ","🔲","F0 9F 94 B2","<ed><a0><bd><ed><b4><b2>","f0 9f 94 b2","f0 9f 94 b2"
"78","BLACK SUN WITH RAYS ","☀","E2 98 80","<e2><98><80>","e2 98 80","e2 98 80"
"79","BLACK TELEPHONE ","☎","E2 98 8E","<e2><98><8e>","e2 98 8e","e2 98 8e"
"80","BLACK UNIVERSAL RECYCLING SYMBOL ","♻","E2 99 BB","<e2><99><bb>","e2 99 bb","e2 99 bb"
"81","BLACK UP-POINTING DOUBLE TRIANGLE ","⏫","E2 8F AB","<e2><8f><ab>","e2 8f ab","e2 8f ab"
"82","BLOSSOM ","🌼","F0 9F 8C BC","<ed><a0><bc><ed><bc><bc>","f0 9f 8c bc","f0 9f 8c bc"
"83","BLOWFISH ","🐡","F0 9F 90 A1","<ed><a0><bd><ed><b0><a1>","f0 9f 90 a1","f0 9f 90 a1"
"84","BLUE BOOK ","📘","F0 9F 93 98","<ed><a0><bd><ed><b3><98>","f0 9f 93 98","f0 9f 93 98"
"85","BLUE HEART ","💙","F0 9F 92 99","<ed><a0><bd><ed><b2><99>","f0 9f 92 99","f0 9f 92 99"
"86","BOAR ","🐗","F0 9F 90 97","<ed><a0><bd><ed><b0><97>","f0 9f 90 97","f0 9f 90 97"
"87","BOMB ","💣","F0 9F 92 A3","<ed><a0><bd><ed><b2><a3>","f0 9f 92 a3","f0 9f 92 a3"
"88","BOOKMARK ","🔖","F0 9F 94 96","<ed><a0><bd><ed><b4><96>","f0 9f 94 96","f0 9f 94 96"
"89","BOOKMARK TABS ","📑","F0 9F 93 91","<ed><a0><bd><ed><b3><91>","f0 9f 93 91","f0 9f 93 91"
"90","BOOKS ","📚","F0 9F 93 9A","<ed><a0><bd><ed><b3><9a>","f0 9f 93 9a","f0 9f 93 9a"
"91","BOUQUET ","💐","F0 9F 92 90","<ed><a0><bd><ed><b2><90>","f0 9f 92 90","f0 9f 92 90"
"92","BOWLING ","🎳","F0 9F 8E B3","<ed><a0><bc><ed><be><b3>","f0 9f 8e b3","f0 9f 8e b3"
"93","BOY ","👦","F0 9F 91 A6","<ed><a0><bd><ed><b1><a6>","f0 9f 91 a6","f0 9f 91 a6"
"94","BREAD ","🍞","F0 9F 8D 9E","<ed><a0><bc><ed><bd><9e>","f0 9f 8d 9e","f0 9f 8d 9e"
"95","BRIDE WITH VEIL ","👰","F0 9F 91 B0","<ed><a0><bd><ed><b1><b0>","f0 9f 91 b0","f0 9f 91 b0"
"96","BRIDGE AT NIGHT ","🌉","F0 9F 8C 89","<ed><a0><bc><ed><bc><89>","f0 9f 8c 89","f0 9f 8c 89"
"97","BRIEFCASE ","💼","F0 9F 92 BC","<ed><a0><bd><ed><b2><bc>","f0 9f 92 bc","f0 9f 92 bc"
"98","BROKEN HEART ","💔","F0 9F 92 94","<ed><a0><bd><ed><b2><94>","f0 9f 92 94","f0 9f 92 94"
"99","BUG ","🐛","F0 9F 90 9B","<ed><a0><bd><ed><b0><9b>","f0 9f 90 9b","f0 9f 90 9b"
"100","BUS ","🚌","F0 9F 9A 8C","<ed><a0><bd><ed><ba><8c>","f0 9f 9a 8c","f0 9f 9a 8c"
"101","BUS STOP ","🚏","F0 9F 9A 8F","<ed><a0><bd><ed><ba><8f>","f0 9f 9a 8f","f0 9f 9a 8f"
"102","BUST IN SILHOUETTE ","👤","F0 9F 91 A4","<ed><a0><bd><ed><b1><a4>","f0 9f 91 a4","f0 9f 91 a4"
"103","BUSTS IN SILHOUETTE ","👥","F0 9F 91 A5","<ed><a0><bd><ed><b1><a5>","f0 9f 91 a5","f0 9f 91 a5"
"104","CACTUS ","🌵","F0 9F 8C B5","<ed><a0><bc><ed><bc><b5>","f0 9f 8c b5","f0 9f 8c b5"
"105","CALENDAR ","📅","F0 9F 93 85","<ed><a0><bd><ed><b3><85>","f0 9f 93 85","f0 9f 93 85"
"106","CAMERA ","📷","F0 9F 93 B7","<ed><a0><bd><ed><b3><b7>","f0 9f 93 b7","f0 9f 93 b7"
"107","CANCER ","♋","E2 99 8B","<e2><99><8b>","e2 99 8b","e2 99 8b"
"108","CANDY ","🍬","F0 9F 8D AC","<ed><a0><bc><ed><bd><ac>","f0 9f 8d ac","f0 9f 8d ac"
"109","CAPRICORN ","♑","E2 99 91","<e2><99><91>","e2 99 91","e2 99 91"
"110","CARD INDEX ","📇","F0 9F 93 87","<ed><a0><bd><ed><b3><87>","f0 9f 93 87","f0 9f 93 87"
"111","CAROUSEL HORSE ","🎠","F0 9F 8E A0","<ed><a0><bc><ed><be><a0>","f0 9f 8e a0","f0 9f 8e a0"
"112","CARP STREAMER ","🎏","F0 9F 8E 8F","<ed><a0><bc><ed><be><8f>","f0 9f 8e 8f","f0 9f 8e 8f"
"113","CAT ","🐈","F0 9F 90 88","<ed><a0><bd><ed><b0><88>","f0 9f 90 88","f0 9f 90 88"
"114","CAT FACE ","🐱","F0 9F 90 B1","<ed><a0><bd><ed><b0><b1>","f0 9f 90 b1","f0 9f 90 b1"
"115","CAT FACE WITH TEARS OF JOY ","😹","F0 9F 98 B9","<ed><a0><bd><ed><b8><b9>","f0 9f 98 b9","f0 9f 98 b9"
"116","CAT FACE WITH WRY SMILE ","😼","F0 9F 98 BC","<ed><a0><bd><ed><b8><bc>","f0 9f 98 bc","f0 9f 98 bc"
"117","CHART WITH DOWNWARDS TREND ","📉","F0 9F 93 89","<ed><a0><bd><ed><b3><89>","f0 9f 93 89","f0 9f 93 89"
"118","CHART WITH UPWARDS TREND ","📈","F0 9F 93 88","<ed><a0><bd><ed><b3><88>","f0 9f 93 88","f0 9f 93 88"
"119","CHART WITH UPWARDS TREND AND YEN SIGN ","💹","F0 9F 92 B9","<ed><a0><bd><ed><b2><b9>","f0 9f 92 b9","f0 9f 92 b9"
"120","CHEERING MEGAPHONE ","📣","F0 9F 93 A3","<ed><a0><bd><ed><b3><a3>","f0 9f 93 a3","f0 9f 93 a3"
"121","CHEQUERED FLAG ","🏁","F0 9F 8F 81","<ed><a0><bc><ed><bf><81>","f0 9f 8f 81","f0 9f 8f 81"
"122","CHERRIES ","🍒","F0 9F 8D 92","<ed><a0><bc><ed><bd><92>","f0 9f 8d 92","f0 9f 8d 92"
"123","CHERRY BLOSSOM ","🌸","F0 9F 8C B8","<ed><a0><bc><ed><bc><b8>","f0 9f 8c b8","f0 9f 8c b8"
"124","CHESTNUT ","🌰","F0 9F 8C B0","<ed><a0><bc><ed><bc><b0>","f0 9f 8c b0","f0 9f 8c b0"
"125","CHICKEN ","🐔","F0 9F 90 94","<ed><a0><bd><ed><b0><94>","f0 9f 90 94","f0 9f 90 94"
"126","CHILDREN CROSSING ","🚸","F0 9F 9A B8","<ed><a0><bd><ed><ba><b8>","f0 9f 9a b8","f0 9f 9a b8"
"127","CHOCOLATE BAR ","🍫","F0 9F 8D AB","<ed><a0><bc><ed><bd><ab>","f0 9f 8d ab","f0 9f 8d ab"
"128","CHRISTMAS TREE ","🎄","F0 9F 8E 84","<ed><a0><bc><ed><be><84>","f0 9f 8e 84","f0 9f 8e 84"
"129","CHURCH ","⛪","E2 9B AA","<e2><9b><aa>","e2 9b aa","e2 9b aa"
"130","CINEMA ","🎦","F0 9F 8E A6","<ed><a0><bc><ed><be><a6>","f0 9f 8e a6","f0 9f 8e a6"
"131","CIRCLED IDEOGRAPH ACCEPT ","🉑","F0 9F 89 91","<ed><a0><bc><ed><b9><91>","f0 9f 89 91","f0 9f 89 91"
"132","CIRCLED IDEOGRAPH ADVANTAGE ","🉐","F0 9F 89 90","<ed><a0><bc><ed><b9><90>","f0 9f 89 90","f0 9f 89 90"
"133","CIRCLED IDEOGRAPH CONGRATULATION ","㊗","E3 8A 97","<e3><8a><97>","e3 8a 97","e3 8a 97"
"134","CIRCLED IDEOGRAPH SECRET ","㊙","E3 8A 99","<e3><8a><99>","e3 8a 99","e3 8a 99"
"135","CIRCLED LATIN CAPITAL LETTER M ","Ⓜ","E2 93 82","<e2><93><82>","e2 93 82","e2 93 82"
"136","CIRCUS TENT ","🎪","F0 9F 8E AA","<ed><a0><bc><ed><be><aa>","f0 9f 8e aa","f0 9f 8e aa"
"137","CITYSCAPE AT DUSK ","🌆","F0 9F 8C 86","<ed><a0><bc><ed><bc><86>","f0 9f 8c 86","f0 9f 8c 86"
"138","CLAPPER BOARD ","🎬","F0 9F 8E AC","<ed><a0><bc><ed><be><ac>","f0 9f 8e ac","f0 9f 8e ac"
"139","CLAPPING HANDS SIGN ","👏","F0 9F 91 8F","<ed><a0><bd><ed><b1><8f>","f0 9f 91 8f","f0 9f 91 8f"
"140","CLINKING BEER MUGS ","🍻","F0 9F 8D BB","<ed><a0><bc><ed><bd><bb>","f0 9f 8d bb","f0 9f 8d bb"
"141","CLIPBOARD ","📋","F0 9F 93 8B","<ed><a0><bd><ed><b3><8b>","f0 9f 93 8b","f0 9f 93 8b"
"142","CLOCK FACE EIGHT OCLOCK ","🕗","F0 9F 95 97","<ed><a0><bd><ed><b5><97>","f0 9f 95 97","f0 9f 95 97"
"143","CLOCK FACE EIGHT-THIRTY ","🕣","F0 9F 95 A3","<ed><a0><bd><ed><b5><a3>","f0 9f 95 a3","f0 9f 95 a3"
"144","CLOCK FACE ELEVEN OCLOCK ","🕚","F0 9F 95 9A","<ed><a0><bd><ed><b5><9a>","f0 9f 95 9a","f0 9f 95 9a"
"145","CLOCK FACE ELEVEN-THIRTY ","🕦","F0 9F 95 A6","<ed><a0><bd><ed><b5><a6>","f0 9f 95 a6","f0 9f 95 a6"
"146","CLOCK FACE FIVE OCLOCK ","🕔","F0 9F 95 94","<ed><a0><bd><ed><b5><94>","f0 9f 95 94","f0 9f 95 94"
"147","CLOCK FACE FIVE-THIRTY ","🕠","F0 9F 95 A0","<ed><a0><bd><ed><b5><a0>","f0 9f 95 a0","f0 9f 95 a0"
"148","CLOCK FACE FOUR OCLOCK ","🕓","F0 9F 95 93","<ed><a0><bd><ed><b5><93>","f0 9f 95 93","f0 9f 95 93"
"149","CLOCK FACE FOUR-THIRTY ","🕟","F0 9F 95 9F","<ed><a0><bd><ed><b5><9f>","f0 9f 95 9f","f0 9f 95 9f"
"150","CLOCK FACE NINE OCLOCK ","🕘","F0 9F 95 98","<ed><a0><bd><ed><b5><98>","f0 9f 95 98","f0 9f 95 98"
"151","CLOCK FACE NINE-THIRTY ","🕤","F0 9F 95 A4","<ed><a0><bd><ed><b5><a4>","f0 9f 95 a4","f0 9f 95 a4"
"152","CLOCK FACE ONE OCLOCK ","🕐","F0 9F 95 90","<ed><a0><bd><ed><b5><90>","f0 9f 95 90","f0 9f 95 90"
"153","CLOCK FACE ONE-THIRTY ","🕜","F0 9F 95 9C","<ed><a0><bd><ed><b5><9c>","f0 9f 95 9c","f0 9f 95 9c"
"154","CLOCK FACE SEVEN OCLOCK ","🕖","F0 9F 95 96","<ed><a0><bd><ed><b5><96>","f0 9f 95 96","f0 9f 95 96"
"155","CLOCK FACE SEVEN-THIRTY ","🕢","F0 9F 95 A2","<ed><a0><bd><ed><b5><a2>","f0 9f 95 a2","f0 9f 95 a2"
"156","CLOCK FACE SIX OCLOCK ","🕕","F0 9F 95 95","<ed><a0><bd><ed><b5><95>","f0 9f 95 95","f0 9f 95 95"
"157","CLOCK FACE SIX-THIRTY ","🕡","F0 9F 95 A1","<ed><a0><bd><ed><b5><a1>","f0 9f 95 a1","f0 9f 95 a1"
"158","CLOCK FACE TEN OCLOCK ","🕙","F0 9F 95 99","<ed><a0><bd><ed><b5><99>","f0 9f 95 99","f0 9f 95 99"
"159","CLOCK FACE TEN-THIRTY ","🕥","F0 9F 95 A5","<ed><a0><bd><ed><b5><a5>","f0 9f 95 a5","f0 9f 95 a5"
"160","CLOCK FACE THREE OCLOCK ","🕒","F0 9F 95 92","<ed><a0><bd><ed><b5><92>","f0 9f 95 92","f0 9f 95 92"
"161","CLOCK FACE THREE-THIRTY ","🕞","F0 9F 95 9E","<ed><a0><bd><ed><b5><9e>","f0 9f 95 9e","f0 9f 95 9e"
"162","CLOCK FACE TWELVE OCLOCK ","🕛","F0 9F 95 9B","<ed><a0><bd><ed><b5><9b>","f0 9f 95 9b","f0 9f 95 9b"
"163","CLOCK FACE TWELVE-THIRTY ","🕧","F0 9F 95 A7","<ed><a0><bd><ed><b5><a7>","f0 9f 95 a7","f0 9f 95 a7"
"164","CLOCK FACE TWO OCLOCK ","🕑","F0 9F 95 91","<ed><a0><bd><ed><b5><91>","f0 9f 95 91","f0 9f 95 91"
"165","CLOCK FACE TWO-THIRTY ","🕝","F0 9F 95 9D","<ed><a0><bd><ed><b5><9d>","f0 9f 95 9d","f0 9f 95 9d"
"166","CLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS ","🔃","F0 9F 94 83","<ed><a0><bd><ed><b4><83>","f0 9f 94 83","f0 9f 94 83"
"167","CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS ","🔁","F0 9F 94 81","<ed><a0><bd><ed><b4><81>","f0 9f 94 81","f0 9f 94 81"
"168","CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS WITH CIRCLED ONE OVERLAY ","🔂","F0 9F 94 82","<ed><a0><bd><ed><b4><82>","f0 9f 94 82","f0 9f 94 82"
"169","CLOSED BOOK ","📕","F0 9F 93 95","<ed><a0><bd><ed><b3><95>","f0 9f 93 95","f0 9f 93 95"
"170","CLOSED LOCK WITH KEY ","🔐","F0 9F 94 90","<ed><a0><bd><ed><b4><90>","f0 9f 94 90","f0 9f 94 90"
"171","CLOSED MAILBOX WITH LOWERED FLAG ","📪","F0 9F 93 AA","<ed><a0><bd><ed><b3><aa>","f0 9f 93 aa","f0 9f 93 aa"
