"","Description","Native","BigBytes","R_Encoding","Bytes","Spaced.Bytes"
"670","SMILING FACE WITH SMILING EYES ","😊","F0 9F 98 8A","<ed><a0><bd><ed><b8><8a>","f0 9f 98 8a","f0 9f 98 8a"
"671","SMILING FACE WITH SUNGLASSES ","😎","F0 9F 98 8E","<ed><a0><bd><ed><b8><8e>","f0 9f 98 8e","f0 9f 98 8e"
"672","SMIRKING FACE ","😏","F0 9F 98 8F","<ed><a0><bd><ed><b8><8f>","f0 9f 98 8f","f0 9f 98 8f"
"673","SMOKING SYMBOL ","🚬","F0 9F 9A AC","<ed><a0><bd><ed><ba><ac>","f0 9f 9a ac","f0 9f 9a ac"
"674","SNAIL ","🐌","F0 9F 90 8C","<ed><a0><bd><ed><b0><8c>","f0 9f 90 8c","f0 9f 90 8c"
"675","SNAKE ","🐍","F0 9F 90 8D","<ed><a0><bd><ed><b0><8d>","f0 9f 90 8d","f0 9f 90 8d"
"676","SNOWBOARDER ","🏂","F0 9F 8F 82","<ed><a0><bc><ed><bf><82>","f0 9f 8f 82","f0 9f 8f 82"
"677","SNOWFLAKE ","❄","E2 9D 84","<e2><9d><84>","e2 9d 84","e2 9d 84"
"678","SNOWMAN WITHOUT SNOW ","⛄","E2 9B 84","<e2><9b><84>","e2 9b 84","e2 9b 84"
"679","SOCCER BALL ","⚽","E2 9A BD","<e2><9a><bd>","e2 9a bd","e2 9a bd"
"680","SOFT ICE CREAM ","🍦","F0 9F 8D A6","<ed><a0><bc><ed><bd><a6>","f0 9f 8d a6","f0 9f 8d a6"
"681","SOON WITH RIGHTWARDS ARROW ABOVE ","🔜","F0 9F 94 9C","<ed><a0><bd><ed><b4><9c>","f0 9f 94 9c","f0 9f 94 9c"
"682","SOUTH EAST ARROW ","↘","E2 86 98","<e2><86><98>","e2 86 98","e2 86 98"
"683","SOUTH WEST ARROW ","↙","E2 86 99","<e2><86><99>","e2 86 99","e2 86 99"
"684","SPAGHETTI ","🍝","F0 9F 8D 9D","<ed><a0><bc><ed><bd><9d>","f0 9f 8d 9d","f0 9f 8d 9d"
"685","SPARKLE ","❇","E2 9D 87","<e2><9d><87>","e2 9d 87","e2 9d 87"
"686","SPARKLES ","✨","E2 9C A8","<e2><9c><a8>","e2 9c a8","e2 9c a8"
"687","SPARKLING HEART ","💖","F0 9F 92 96","<ed><a0><bd><ed><b2><96>","f0 9f 92 96","f0 9f 92 96"
"688","SPEAK-NO-EVIL MONKEY ","🙊","F0 9F 99 8A","<ed><a0><bd><ed><b9><8a>","f0 9f 99 8a","f0 9f 99 8a"
"689","SPEAKER WITH CANCELLATION STROKE ","🔇","F0 9F 94 87","<ed><a0><bd><ed><b4><87>","f0 9f 94 87","f0 9f 94 87"
"690","SPEAKER WITH ONE SOUND WAVE ","🔉","F0 9F 94 89","<ed><a0><bd><ed><b4><89>","f0 9f 94 89","f0 9f 94 89"
"691","SPEAKER WITH THREE SOUND WAVES ","🔊","F0 9F 94 8A","<ed><a0><bd><ed><b4><8a>","f0 9f 94 8a","f0 9f 94 8a"
"692","SPEECH BALLOON ","💬","F0 9F 92 AC","<ed><a0><bd><ed><b2><ac>","f0 9f 92 ac","f0 9f 92 ac"
"693","SPEEDBOAT ","🚤","F0 9F 9A A4","<ed><a0><bd><ed><ba><a4>","f0 9f 9a a4","f0 9f 9a a4"
"694","SPIRAL SHELL ","🐚","F0 9F 90 9A","<ed><a0><bd><ed><b0><9a>","f0 9f 90 9a","f0 9f 90 9a"
"695","SPLASHING SWEAT SYMBOL ","💦","F0 9F 92 A6","<ed><a0><bd><ed><b2><a6>","f0 9f 92 a6","f0 9f 92 a6"
"696","SPOUTING WHALE ","🐳","F0 9F 90 B3","<ed><a0><bd><ed><b0><b3>","f0 9f 90 b3","f0 9f 90 b3"
"697","SQUARED CJK UNIFIED IDEOGRAPH-5272 ","🈹","F0 9F 88 B9","<ed><a0><bc><ed><b8><b9>","f0 9f 88 b9","f0 9f 88 b9"
"698","SQUARED CJK UNIFIED IDEOGRAPH-5408 ","🈴","F0 9F 88 B4","<ed><a0><bc><ed><b8><b4>","f0 9f 88 b4","f0 9f 88 b4"
"699","SQUARED CJK UNIFIED IDEOGRAPH-55B6 ","🈺","F0 9F 88 BA","<ed><a0><bc><ed><b8><ba>","f0 9f 88 ba","f0 9f 88 ba"
"700","SQUARED CJK UNIFIED IDEOGRAPH-6307 ","🈯","F0 9F 88 AF","<ed><a0><bc><ed><b8><af>","f0 9f 88 af","f0 9f 88 af"
"701","SQUARED CJK UNIFIED IDEOGRAPH-6708 ","🈷","F0 9F 88 B7","<ed><a0><bc><ed><b8><b7>","f0 9f 88 b7","f0 9f 88 b7"
"702","SQUARED CJK UNIFIED IDEOGRAPH-6709 ","🈶","F0 9F 88 B6","<ed><a0><bc><ed><b8><b6>","f0 9f 88 b6","f0 9f 88 b6"
"703","SQUARED CJK UNIFIED IDEOGRAPH-6E80 ","🈵","F0 9F 88 B5","<ed><a0><bc><ed><b8><b5>","f0 9f 88 b5","f0 9f 88 b5"
"704","SQUARED CJK UNIFIED IDEOGRAPH-7121 ","🈚","F0 9F 88 9A","<ed><a0><bc><ed><b8><9a>","f0 9f 88 9a","f0 9f 88 9a"
"705","SQUARED CJK UNIFIED IDEOGRAPH-7533 ","🈸","F0 9F 88 B8","<ed><a0><bc><ed><b8><b8>","f0 9f 88 b8","f0 9f 88 b8"
"706","SQUARED CJK UNIFIED IDEOGRAPH-7981 ","🈲","F0 9F 88 B2","<ed><a0><bc><ed><b8><b2>","f0 9f 88 b2","f0 9f 88 b2"
"707","SQUARED CJK UNIFIED IDEOGRAPH-7A7A ","🈳","F0 9F 88 B3","<ed><a0><bc><ed><b8><b3>","f0 9f 88 b3","f0 9f 88 b3"
"708","SQUARED CL ","🆑","F0 9F 86 91","<ed><a0><bc><ed><b6><91>","f0 9f 86 91","f0 9f 86 91"
"709","SQUARED COOL ","🆒","F0 9F 86 92","<ed><a0><bc><ed><b6><92>","f0 9f 86 92","f0 9f 86 92"
"710","SQUARED FREE ","🆓","F0 9F 86 93","<ed><a0><bc><ed><b6><93>","f0 9f 86 93","f0 9f 86 93"
"711","SQUARED ID ","🆔","F0 9F 86 94","<ed><a0><bc><ed><b6><94>","f0 9f 86 94","f0 9f 86 94"
"712","SQUARED KATAKANA KOKO ","🈁","F0 9F 88 81","<ed><a0><bc><ed><b8><81>","f0 9f 88 81","f0 9f 88 81"
"713","SQUARED KATAKANA SA ","🈂","F0 9F 88 82","<ed><a0><bc><ed><b8><82>","f0 9f 88 82","f0 9f 88 82"
"714","SQUARED NEW ","🆕","F0 9F 86 95","<ed><a0><bc><ed><b6><95>","f0 9f 86 95","f0 9f 86 95"
"715","SQUARED NG ","🆖","F0 9F 86 96","<ed><a0><bc><ed><b6><96>","f0 9f 86 96","f0 9f 86 96"
"716","SQUARED OK ","🆗","F0 9F 86 97","<ed><a0><bc><ed><b6><97>","f0 9f 86 97","f0 9f 86 97"
"717","SQUARED SOS ","🆘","F0 9F 86 98","<ed><a0><bc><ed><b6><98>","f0 9f 86 98","f0 9f 86 98"
"718","SQUARED UP WITH EXCLAMATION MARK ","🆙","F0 9F 86 99","<ed><a0><bc><ed><b6><99>","f0 9f 86 99","f0 9f 86 99"
"719","SQUARED VS ","🆚","F0 9F 86 9A","<ed><a0><bc><ed><b6><9a>","f0 9f 86 9a","f0 9f 86 9a"
"720","STATION ","🚉","F0 9F 9A 89","<ed><a0><bd><ed><ba><89>","f0 9f 9a 89","f0 9f 9a 89"
"721","STATUE OF LIBERTY ","🗽","F0 9F 97 BD","<ed><a0><bd><ed><b7><bd>","f0 9f 97 bd","f0 9f 97 bd"
"722","STEAM LOCOMOTIVE ","🚂","F0 9F 9A 82","<ed><a0><bd><ed><ba><82>","f0 9f 9a 82","f0 9f 9a 82"
"723","STEAMING BOWL ","🍜","F0 9F 8D 9C","<ed><a0><bc><ed><bd><9c>","f0 9f 8d 9c","f0 9f 8d 9c"
"724","STRAIGHT RULER ","📏","F0 9F 93 8F","<ed><a0><bd><ed><b3><8f>","f0 9f 93 8f","f0 9f 93 8f"
"725","STRAWBERRY ","🍓","F0 9F 8D 93","<ed><a0><bc><ed><bd><93>","f0 9f 8d 93","f0 9f 8d 93"
"726","SUN BEHIND CLOUD ","⛅","E2 9B 85","<e2><9b><85>","e2 9b 85","e2 9b 85"
"727","SUN WITH FACE ","🌞","F0 9F 8C 9E","<ed><a0><bc><ed><bc><9e>","f0 9f 8c 9e","f0 9f 8c 9e"
"728","SUNFLOWER ","🌻","F0 9F 8C BB","<ed><a0><bc><ed><bc><bb>","f0 9f 8c bb","f0 9f 8c bb"
"729","SUNRISE ","🌅","F0 9F 8C 85","<ed><a0><bc><ed><bc><85>","f0 9f 8c 85","f0 9f 8c 85"
"730","SUNRISE OVER MOUNTAINS ","🌄","F0 9F 8C 84","<ed><a0><bc><ed><bc><84>","f0 9f 8c 84","f0 9f 8c 84"
"731","SUNSET OVER BUILDINGS ","🌇","F0 9F 8C 87","<ed><a0><bc><ed><bc><87>","f0 9f 8c 87","f0 9f 8c 87"
"732","SURFER ","🏄","F0 9F 8F 84","<ed><a0><bc><ed><bf><84>","f0 9f 8f 84","f0 9f 8f 84"
"733","SUSHI ","🍣","F0 9F 8D A3","<ed><a0><bc><ed><bd><a3>","f0 9f 8d a3","f0 9f 8d a3"
"734","SUSPENSION RAILWAY ","🚟","F0 9F 9A 9F","<ed><a0><bd><ed><ba><9f>","f0 9f 9a 9f","f0 9f 9a 9f"
"735","SWIMMER ","🏊","F0 9F 8F 8A","<ed><a0><bc><ed><bf><8a>","f0 9f 8f 8a","f0 9f 8f 8a"
"736","SYRINGE ","💉","F0 9F 92 89","<ed><a0><bd><ed><b2><89>","f0 9f 92 89","f0 9f 92 89"
"737","T-SHIRT ","👕","F0 9F 91 95","<ed><a0><bd><ed><b1><95>","f0 9f 91 95","f0 9f 91 95"
"738","TANABATA TREE ","🎋","F0 9F 8E 8B","<ed><a0><bc><ed><be><8b>","f0 9f 8e 8b","f0 9f 8e 8b"
"739","TANGERINE ","🍊","F0 9F 8D 8A","<ed><a0><bc><ed><bd><8a>","f0 9f 8d 8a","f0 9f 8d 8a"
"740","TAURUS ","♉","E2 99 89","<e2><99><89>","e2 99 89","e2 99 89"
"741","TAXI ","🚕","F0 9F 9A 95","<ed><a0><bd><ed><ba><95>","f0 9f 9a 95","f0 9f 9a 95"
"742","TEACUP WITHOUT HANDLE ","🍵","F0 9F 8D B5","<ed><a0><bc><ed><bd><b5>","f0 9f 8d b5","f0 9f 8d b5"
"743","TEAR-OFF CALENDAR ","📆","F0 9F 93 86","<ed><a0><bd><ed><b3><86>","f0 9f 93 86","f0 9f 93 86"
"744","TELEPHONE RECEIVER ","📞","F0 9F 93 9E","<ed><a0><bd><ed><b3><9e>","f0 9f 93 9e","f0 9f 93 9e"
"745","TELESCOPE ","🔭","F0 9F 94 AD","<ed><a0><bd><ed><b4><ad>","f0 9f 94 ad","f0 9f 94 ad"
"746","TELEVISION ","📺","F0 9F 93 BA","<ed><a0><bd><ed><b3><ba>","f0 9f 93 ba","f0 9f 93 ba"
"747","TENNIS RACQUET AND BALL ","🎾","F0 9F 8E BE","<ed><a0><bc><ed><be><be>","f0 9f 8e be","f0 9f 8e be"
"748","TENT ","⛺","E2 9B BA","<e2><9b><ba>","e2 9b ba","e2 9b ba"
"749","THOUGHT BALLOON ","💭","F0 9F 92 AD","<ed><a0><bd><ed><b2><ad>","f0 9f 92 ad","f0 9f 92 ad"
"750","THUMBS DOWN SIGN ","👎","F0 9F 91 8E","<ed><a0><bd><ed><b1><8e>","f0 9f 91 8e","f0 9f 91 8e"
"751","THUMBS UP SIGN ","👍","F0 9F 91 8D","<ed><a0><bd><ed><b1><8d>","f0 9f 91 8d","f0 9f 91 8d"
"752","TICKET ","🎫","F0 9F 8E AB","<ed><a0><bc><ed><be><ab>","f0 9f 8e ab","f0 9f 8e ab"
"753","TIGER ","🐅","F0 9F 90 85","<ed><a0><bd><ed><b0><85>","f0 9f 90 85","f0 9f 90 85"
"754","TIGER FACE ","🐯","F0 9F 90 AF","<ed><a0><bd><ed><b0><af>","f0 9f 90 af","f0 9f 90 af"
"755","TIRED FACE ","😫","F0 9F 98 AB","<ed><a0><bd><ed><b8><ab>","f0 9f 98 ab","f0 9f 98 ab"
"756","TOILET ","🚽","F0 9F 9A BD","<ed><a0><bd><ed><ba><bd>","f0 9f 9a bd","f0 9f 9a bd"
"757","TOKYO TOWER ","🗼","F0 9F 97 BC","<ed><a0><bd><ed><b7><bc>","f0 9f 97 bc","f0 9f 97 bc"
"758","TOMATO ","🍅","F0 9F 8D 85","<ed><a0><bc><ed><bd><85>","f0 9f 8d 85","f0 9f 8d 85"
"759","TONGUE ","👅","F0 9F 91 85","<ed><a0><bd><ed><b1><85>","f0 9f 91 85","f0 9f 91 85"
"760","TOP HAT ","🎩","F0 9F 8E A9","<ed><a0><bc><ed><be><a9>","f0 9f 8e a9","f0 9f 8e a9"
"761","TOP WITH UPWARDS ARROW ABOVE ","🔝","F0 9F 94 9D","<ed><a0><bd><ed><b4><9d>","f0 9f 94 9d","f0 9f 94 9d"
"762","TRACTOR ","🚜","F0 9F 9A 9C","<ed><a0><bd><ed><ba><9c>","f0 9f 9a 9c","f0 9f 9a 9c"
"763","TRADE MARK SIGN ","™","E2 84 A2","<e2><84><a2>","e2 84 a2","e2 84 a2"
"764","TRAIN ","🚆","F0 9F 9A 86","<ed><a0><bd><ed><ba><86>","f0 9f 9a 86","f0 9f 9a 86"
"765","TRAM ","🚊","F0 9F 9A 8A","<ed><a0><bd><ed><ba><8a>","f0 9f 9a 8a","f0 9f 9a 8a"
"766","TRIANGULAR FLAG ON POST ","🚩","F0 9F 9A A9","<ed><a0><bd><ed><ba><a9>","f0 9f 9a a9","f0 9f 9a a9"
"767","TRIANGULAR RULER ","📐","F0 9F 93 90","<ed><a0><bd><ed><b3><90>","f0 9f 93 90","f0 9f 93 90"
"768","TRIDENT EMBLEM ","🔱","F0 9F 94 B1","<ed><a0><bd><ed><b4><b1>","f0 9f 94 b1","f0 9f 94 b1"
"769","TROLLEYBUS ","🚎","F0 9F 9A 8E","<ed><a0><bd><ed><ba><8e>","f0 9f 9a 8e","f0 9f 9a 8e"
"770","TROPHY ","🏆","F0 9F 8F 86","<ed><a0><bc><ed><bf><86>","f0 9f 8f 86","f0 9f 8f 86"
"771","TROPICAL DRINK ","🍹","F0 9F 8D B9","<ed><a0><bc><ed><bd><b9>","f0 9f 8d b9","f0 9f 8d b9"
"772","TROPICAL FISH ","🐠","F0 9F 90 A0","<ed><a0><bd><ed><b0><a0>","f0 9f 90 a0","f0 9f 90 a0"
"773","TRUMPET ","🎺","F0 9F 8E BA","<ed><a0><bc><ed><be><ba>","f0 9f 8e ba","f0 9f 8e ba"
"774","TULIP ","🌷","F0 9F 8C B7","<ed><a0><bc><ed><bc><b7>","f0 9f 8c b7","f0 9f 8c b7"
"775","TURTLE ","🐢","F0 9F 90 A2","<ed><a0><bd><ed><b0><a2>","f0 9f 90 a2","f0 9f 90 a2"
"776","TWISTED RIGHTWARDS ARROWS ","🔀","F0 9F 94 80","<ed><a0><bd><ed><b4><80>","f0 9f 94 80","f0 9f 94 80"
"777","TWO HEARTS ","💕","F0 9F 92 95","<ed><a0><bd><ed><b2><95>","f0 9f 92 95","f0 9f 92 95"
"778","TWO MEN HOLDING HANDS ","👬","F0 9F 91 AC","<ed><a0><bd><ed><b1><ac>","f0 9f 91 ac","f0 9f 91 ac"
"779","TWO WOMEN HOLDING HANDS ","👭","F0 9F 91 AD","<ed><a0><bd><ed><b1><ad>","f0 9f 91 ad","f0 9f 91 ad"
"780","UMBRELLA WITH RAIN DROPS ","☔","E2 98 94","<e2><98><94>","e2 98 94","e2 98 94"
"781","UNAMUSED FACE ","😒","F0 9F 98 92","<ed><a0><bd><ed><b8><92>","f0 9f 98 92","f0 9f 98 92"
"782","UP DOWN ARROW ","↕","E2 86 95","<e2><86><95>","e2 86 95","e2 86 95"
"783","UP-POINTING RED TRIANGLE ","🔺","F0 9F 94 BA","<ed><a0><bd><ed><b4><ba>","f0 9f 94 ba","f0 9f 94 ba"
"784","UP-POINTING SMALL RED TRIANGLE ","🔼","F0 9F 94 BC","<ed><a0><bd><ed><b4><bc>","f0 9f 94 bc","f0 9f 94 bc"
"785","UPWARDS BLACK ARROW ","⬆","E2 AC 86","<e2><ac><86>","e2 ac 86","e2 ac 86"
"786","VERTICAL TRAFFIC LIGHT ","🚦","F0 9F 9A A6","<ed><a0><bd><ed><ba><a6>","f0 9f 9a a6","f0 9f 9a a6"
"787","VIBRATION MODE ","📳","F0 9F 93 B3","<ed><a0><bd><ed><b3><b3>","f0 9f 93 b3","f0 9f 93 b3"
"788","VICTORY HAND ","✌","E2 9C 8C","<e2><9c><8c>","e2 9c 8c","e2 9c 8c"
"789","VIDEO CAMERA ","📹","F0 9F 93 B9","<ed><a0><bd><ed><b3><b9>","f0 9f 93 b9","f0 9f 93 b9"
"790","VIDEO GAME ","🎮","F0 9F 8E AE","<ed><a0><bc><ed><be><ae>","f0 9f 8e ae","f0 9f 8e ae"
"791","VIDEOCASSETTE ","📼","F0 9F 93 BC","<ed><a0><bd><ed><b3><bc>","f0 9f 93 bc","f0 9f 93 bc"
"792","VIOLIN ","🎻","F0 9F 8E BB","<ed><a0><bc><ed><be><bb>","f0 9f 8e bb","f0 9f 8e bb"
"793","VIRGO ","♍","E2 99 8D","<e2><99><8d>","e2 99 8d","e2 99 8d"
"794","VOLCANO ","🌋","F0 9F 8C 8B","<ed><a0><bc><ed><bc><8b>","f0 9f 8c 8b","f0 9f 8c 8b"
"795","WANING CRESCENT MOON SYMBOL ","🌘","F0 9F 8C 98","<ed><a0><bc><ed><bc><98>","f0 9f 8c 98","f0 9f 8c 98"
"796","WANING GIBBOUS MOON SYMBOL ","🌖","F0 9F 8C 96","<ed><a0><bc><ed><bc><96>","f0 9f 8c 96","f0 9f 8c 96"
"797","WARNING SIGN ","⚠","E2 9A A0","<e2><9a><a0>","e2 9a a0","e2 9a a0"
"798","WATCH ","⌚","E2 8C 9A","<e2><8c><9a>","e2 8c 9a","e2 8c 9a"
"799","WATER BUFFALO ","🐃","F0 9F 90 83","<ed><a0><bd><ed><b0><83>","f0 9f 90 83","f0 9f 90 83"
"800","WATER CLOSET ","🚾","F0 9F 9A BE","<ed><a0><bd><ed><ba><be>","f0 9f 9a be","f0 9f 9a be"
"801","WATER WAVE ","🌊","F0 9F 8C 8A","<ed><a0><bc><ed><bc><8a>","f0 9f 8c 8a","f0 9f 8c 8a"
"802","WATERMELON ","🍉","F0 9F 8D 89","<ed><a0><bc><ed><bd><89>","f0 9f 8d 89","f0 9f 8d 89"
"803","WAVING HAND SIGN ","👋","F0 9F 91 8B","<ed><a0><bd><ed><b1><8b>","f0 9f 91 8b","f0 9f 91 8b"
"804","WAVY DASH ","〰","E3 80 B0","<e3><80><b0>","e3 80 b0","e3 80 b0"
"805","WAXING CRESCENT MOON SYMBOL ","🌒","F0 9F 8C 92","<ed><a0><bc><ed><bc><92>","f0 9f 8c 92","f0 9f 8c 92"
"806","WAXING GIBBOUS MOON SYMBOL ","🌔","F0 9F 8C 94","<ed><a0><bc><ed><bc><94>","f0 9f 8c 94","f0 9f 8c 94"
"807","WEARY CAT FACE ","🙀","F0 9F 99 80","<ed><a0><bd><ed><b9><80>","f0 9f 99 80","f0 9f 99 80"
"808","WEARY FACE ","😩","F0 9F 98 A9","<ed><a0><bd><ed><b8><a9>","f0 9f 98 a9","f0 9f 98 a9"
"809","WEDDING ","💒","F0 9F 92 92","<ed><a0><bd><ed><b2><92>","f0 9f 92 92","f0 9f 92 92"
"810","WHALE ","🐋","F0 9F 90 8B","<ed><a0><bd><ed><b0><8b>","f0 9f 90 8b","f0 9f 90 8b"
"811","WHEELCHAIR SYMBOL ","♿","E2 99 BF","<e2><99><bf>","e2 99 bf","e2 99 bf"
"812","WHITE DOWN POINTING BACKHAND INDEX ","👇","F0 9F 91 87","<ed><a0><bd><ed><b1><87>","f0 9f 91 87","f0 9f 91 87"
"813","WHITE EXCLAMATION MARK ORNAMENT ","❕","E2 9D 95","<e2><9d><95>","e2 9d 95","e2 9d 95"
"814","WHITE FLOWER ","💮","F0 9F 92 AE","<ed><a0><bd><ed><b2><ae>","f0 9f 92 ae","f0 9f 92 ae"
"815","WHITE HEAVY CHECK MARK ","✅","E2 9C 85","<e2><9c><85>","e2 9c 85","e2 9c 85"
"816","WHITE LARGE SQUARE ","⬜","E2 AC 9C","<e2><ac><9c>","e2 ac 9c","e2 ac 9c"
"817","WHITE LEFT POINTING BACKHAND INDEX ","👈","F0 9F 91 88","<ed><a0><bd><ed><b1><88>","f0 9f 91 88","f0 9f 91 88"
"818","WHITE MEDIUM SMALL SQUARE ","◽","E2 97 BD","<e2><97><bd>","e2 97 bd","e2 97 bd"
"819","WHITE MEDIUM SQUARE ","◻","E2 97 BB","<e2><97><bb>","e2 97 bb","e2 97 bb"
"820","WHITE MEDIUM STAR ","⭐","E2 AD 90","<e2><ad><90>","e2 ad 90","e2 ad 90"
"821","WHITE QUESTION MARK ORNAMENT ","❔","E2 9D 94","<e2><9d><94>","e2 9d 94","e2 9d 94"
"822","WHITE RIGHT POINTING BACKHAND INDEX ","👉","F0 9F 91 89","<ed><a0><bd><ed><b1><89>","f0 9f 91 89","f0 9f 91 89"
"823","WHITE SMALL SQUARE ","▫","E2 96 AB","<e2><96><ab>","e2 96 ab","e2 96 ab"
"824","WHITE SMILING FACE ","☺","E2 98 BA","<e2><98><ba>","e2 98 ba","e2 98 ba"
"825","WHITE SQUARE BUTTON ","🔳","F0 9F 94 B3","<ed><a0><bd><ed><b4><b3>","f0 9f 94 b3","f0 9f 94 b3"
"826","WHITE UP POINTING BACKHAND INDEX ","👆","F0 9F 91 86","<ed><a0><bd><ed><b1><86>","f0 9f 91 86","f0 9f 91 86"
"827","WHITE UP POINTING INDEX ","☝","E2 98 9D","<e2><98><9d>","e2 98 9d","e2 98 9d"
"828","WIND CHIME ","🎐","F0 9F 8E 90","<ed><a0><bc><ed><be><90>","f0 9f 8e 90","f0 9f 8e 90"
"829","WINE GLASS ","🍷","F0 9F 8D B7","<ed><a0><bc><ed><bd><b7>","f0 9f 8d b7","f0 9f 8d b7"
"830","WINKING FACE ","😉","F0 9F 98 89","<ed><a0><bd><ed><b8><89>","f0 9f 98 89","f0 9f 98 89"
"831","WOLF FACE ","🐺","F0 9F 90 BA","<ed><a0><bd><ed><b0><ba>","f0 9f 90 ba","f0 9f 90 ba"
"832","WOMAN ","👩","F0 9F 91 A9","<ed><a0><bd><ed><b1><a9>","f0 9f 91 a9","f0 9f 91 a9"
"833","WOMAN WITH BUNNY EARS ","👯","F0 9F 91 AF","<ed><a0><bd><ed><b1><af>","f0 9f 91 af","f0 9f 91 af"
"834","WOMANS BOOTS ","👢","F0 9F 91 A2","<ed><a0><bd><ed><b1><a2>","f0 9f 91 a2","f0 9f 91 a2"
"835","WOMANS CLOTHES ","👚","F0 9F 91 9A","<ed><a0><bd><ed><b1><9a>","f0 9f 91 9a","f0 9f 91 9a"
"836","WOMANS HAT ","👒","F0 9F 91 92","<ed><a0><bd><ed><b1><92>","f0 9f 91 92","f0 9f 91 92"
"837","WOMANS SANDAL ","👡","F0 9F 91 A1","<ed><a0><bd><ed><b1><a1>","f0 9f 91 a1","f0 9f 91 a1"
"838","WOMENS SYMBOL ","🚺","F0 9F 9A BA","<ed><a0><bd><ed><ba><ba>","f0 9f 9a ba","f0 9f 9a ba"
"839","WORRIED FACE ","😟","F0 9F 98 9F","<ed><a0><bd><ed><b8><9f>","f0 9f 98 9f","f0 9f 98 9f"
"840","WRAPPED PRESENT ","🎁","F0 9F 8E 81","<ed><a0><bc><ed><be><81>","f0 9f 8e 81","f0 9f 8e 81"
"841","WRENCH ","🔧","F0 9F 94 A7","<ed><a0><bd><ed><b4><a7>","f0 9f 94 a7","f0 9f 94 a7"
"842","YELLOW HEART ","💛","F0 9F 92 9B","<ed><a0><bd><ed><b2><9b>","f0 9f 92 9b","f0 9f 92 9b"
